Date,Value
28-06-1996,80.1
01-07-1996,79.82
02-07-1996,79.74
03-07-1996,79.63
04-07-1996,79.59
05-07-1996,79.52
08-07-1996,79.5
09-07-1996,78.96
10-07-1996,78.72
11-07-1996,78.57
12-07-1996,78.52
15-07-1996,78.48
16-07-1996,78.34
17-07-1996,78.49
18-07-1996,78.03
19-07-1996,78.12
22-07-1996,78.01
23-07-1996,77.81
24-07-1996,77.48
25-07-1996,77.6
26-07-1996,77.53
29-07-1996,77.57
30-07-1996,77.47
31-07-1996,77.58
01-08-1996,77.52
02-08-1996,77.34
05-08-1996,77.01
06-08-1996,76.75
07-08-1996,76.95
08-08-1996,76.81
09-08-1996,76.77
12-08-1996,76.55
13-08-1996,76.75
14-08-1996,77.29
15-08-1996,77.18
16-08-1996,77.47
19-08-1996,77.51
20-08-1996,77.41
21-08-1996,77.69
22-08-1996,78.03
23-08-1996,78.12
26-08-1996,78.26
27-08-1996,78.58
28-08-1996,78.54
29-08-1996,78.77
30-08-1996,78.82
02-09-1996,78.76
03-09-1996,78.92
04-09-1996,79.37
05-09-1996,79.45
06-09-1996,79.27
09-09-1996,79.1
10-09-1996,79.33
11-09-1996,79.62
12-09-1996,79.71
13-09-1996,79.85
16-09-1996,80.23
17-09-1996,80.6
18-09-1996,81.21
19-09-1996,81.69
20-09-1996,82.06
23-09-1996,82.07
24-09-1996,82.66
25-09-1996,83.1
26-09-1996,83.1
27-09-1996,83.46
30-09-1996,83.5
01-10-1996,83.62
02-10-1996,83.83
04-10-1996,83.92
07-10-1996,83.74
08-10-1996,84.16
09-10-1996,84.21
10-10-1996,83.96
11-10-1996,84
14-10-1996,84.15
15-10-1996,84.33
16-10-1996,84.41
17-10-1996,84.11
18-10-1996,84.33
21-10-1996,84.52
22-10-1996,84.19
23-10-1996,84.33
24-10-1996,84.42
25-10-1996,84.1
28-10-1996,84.23
29-10-1996,84.27
30-10-1996,84.56
31-10-1996,84.58
01-11-1996,84.55
04-11-1996,84.46
05-11-1996,84.43
06-11-1996,84.67
07-11-1996,84.71
08-11-1996,84.67
11-11-1996,84.51
12-11-1996,84.41
13-11-1996,84.68
14-11-1996,84.83
18-11-1996,84.78
19-11-1996,85
20-11-1996,85.13
21-11-1996,85.06
22-11-1996,84.78
25-11-1996,85.03
26-11-1996,85.14
27-11-1996,85.29
28-11-1996,85.08
29-11-1996,85.13
02-12-1996,85.27
03-12-1996,85.43
04-12-1996,85.19
05-12-1996,85.13
06-12-1996,85.46
09-12-1996,84.81
10-12-1996,85.03
11-12-1996,84.75
