Date,Price,Open,High,Low,Volume,Chg%
"Jun 07, 2024",11.5156,11.5209,11.524,11.5131,0,-0.05%
"Jun 06, 2024",11.5209,11.5045,11.5312,11.4966,0,0.16%
"Jun 05, 2024",11.5028,11.5389,11.5408,11.4903,0,-0.29%
"Jun 04, 2024",11.5361,11.4771,11.5548,11.467,0,0.56%
"Jun 03, 2024",11.4716,11.5205,11.5232,11.4487,0,-0.42%
"May 31, 2024",11.5195,11.5202,11.5308,11.4944,0,0.05%
"May 30, 2024",11.5133,11.4995,11.5185,11.4945,0,0.15%
"May 29, 2024",11.496,11.4834,11.5059,11.4787,0,0.16%
"May 28, 2024",11.4781,11.4759,11.4845,11.4685,0,0.07%
"May 27, 2024",11.4703,11.469,11.4783,11.4607,0,0.03%
"May 24, 2024",11.4668,11.5005,11.5026,11.459,0,-0.23%
"May 23, 2024",11.4937,11.5016,11.5067,11.4883,0,0.02%
"May 22, 2024",11.4919,11.5121,11.5121,11.4942,0,-0.08%
"May 21, 2024",11.5015,11.5129,11.522,11.5003,0,-0.07%
"May 20, 2024",11.5094,11.5308,11.5338,11.5098,0,-0.15%
"May 17, 2024",11.5263,11.5681,11.5681,11.5281,0,-0.27%
"May 16, 2024",11.558,11.5548,11.5737,11.5526,0,0.05%
"May 15, 2024",11.5528,11.5436,11.5714,11.5414,0,0.11%
"May 14, 2024",11.5398,11.5485,11.5505,11.5357,0,0.01%
"May 13, 2024",11.5386,11.5578,11.5633,11.5387,0,-0.21%
"May 10, 2024",11.5626,11.5576,11.5686,11.5531,0,0.04%
"May 09, 2024",11.5576,11.5522,11.568,11.5498,0,0.06%
