Date,Price,Open,High,Low,Volume,Chg%
"Jun 07, 2024","57,080","57,020","57,200","57,020",0.01K,0.14%
"Jun 06, 2024","57,000","56,960","57,000","56,620",0.01K,0.35%
"Jun 05, 2024","56,800","56,520","57,180","56,520",0.02K,0.35%
"Jun 04, 2024","56,600","56,460","56,700","56,300",0.02K,-0.56%
"Jun 03, 2024","56,920","57,300","57,300","56,920",0.01K,-0.14%
"May 29, 2024","57,000","57,460","57,460","57,000",0.00K,2.33%
"May 28, 2024","55,700","55,700","55,700","55,700",0.00K,-0.18%
"May 27, 2024","55,800","55,900","56,100","55,620",0.08K,-1.34%
"May 24, 2024","56,560","56,700","56,740","56,320",0.10K,0.11%
"May 23, 2024","56,500","55,900","56,700","55,900",0.09K,0.93%
"May 22, 2024","55,980","55,800","56,100","55,800",0.06K,0.39%
"May 21, 2024","55,760","56,080","56,080","55,620",0.07K,-0.61%
"May 20, 2024","56,100","56,100","56,100","56,100",0,0.00%
"May 17, 2024","56,100","56,100","56,300","55,900",0.01K,0.04%
"May 16, 2024","56,080","56,280","56,400","55,900",0.03K,0.18%
"May 15, 2024","55,980","56,140","56,500","55,820",0.02K,-1.10%
"May 14, 2024","56,600","57,000","57,000","56,200",0.03K,-0.95%
"May 13, 2024","57,140","57,100","57,300","57,000",0.01K,0.07%
"May 10, 2024","57,100","57,600","57,600","57,020",0.01K,-0.56%
"May 09, 2024","57,420","57,520","57,520","57,320",0.01K,-0.42%
