Date,Ind_Cotton_FT_Price,Ind_Cotton_FT_Open,Ind_Cotton_FT_High,Ind_Cotton_FT_Low,Ind_Cotton_FT_Volume,Ind_Cotton_FT_Chg
2024-05-09,57420.00,57520.00,57520.00,57320.00,0.01,-0.42
2024-05-10,57100.00,57600.00,57600.00,57020.00,0.01,-0.56
2024-05-13,57140.00,57100.00,57300.00,57000.00,0.01,0.07
2024-05-14,56600.00,57000.00,57000.00,56200.00,0.03,-0.95
2024-05-15,55980.00,56140.00,56500.00,55820.00,0.02,-1.10
2024-05-16,56080.00,56280.00,56400.00,55900.00,0.03,0.18
2024-05-17,56100.00,56100.00,56300.00,55900.00,0.01,0.04
2024-05-20,56100.00,56100.00,56100.00,56100.00,0.00,0.00
2024-05-21,55760.00,56080.00,56080.00,55620.00,0.07,-0.61
2024-05-22,55980.00,55800.00,56100.00,55800.00,0.06,0.39
2024-05-23,56500.00,55900.00,56700.00,55900.00,0.09,0.93
2024-05-24,56560.00,56700.00,56740.00,56320.00,0.10,0.11
2024-05-27,55800.00,55900.00,56100.00,55620.00,0.08,-1.34
2024-05-28,55700.00,55700.00,55700.00,55700.00,0.00,-0.18
2024-05-29,57000.00,57460.00,57460.00,57000.00,0.00,2.33
2024-06-03,56920.00,57300.00,57300.00,56920.00,0.01,-0.14
2024-06-04,56600.00,56460.00,56700.00,56300.00,0.02,-0.56
2024-06-05,56800.00,56520.00,57180.00,56520.00,0.02,0.35
2024-06-06,57000.00,56960.00,57000.00,56620.00,0.01,0.35
2024-06-07,57080.00,57020.00,57200.00,57020.00,0.01,0.14
