Date,Output
2024-05-03,56750.00
2024-05-04,56900.00
2024-05-06,57250.00
2024-05-07,57250.00
2024-05-08,57450.00
2024-05-09,57500.00
2024-05-10,57400.00
2024-05-11,57250.00
2024-05-13,57400.00
2024-05-14,57100.00
2024-05-15,56550.00
2024-05-16,56650.00
2024-05-17,56650.00
2024-05-18,56750.00
2024-05-20,56600.00
2024-05-21,56400.00
2024-05-22,56500.00
2024-05-23,56800.00
2024-05-24,57200.00
2024-05-25,57100.00
2024-05-27,56900.00
2024-05-28,56950.00
2024-05-29,57100.00
2024-05-30,56850.00
2024-05-31,56700.00
2024-06-01,56450.00
2024-06-03,56200.00
2024-06-04,55900.00
2024-06-05,56100.00
2024-06-06,56150.00
