Date,Shankar 6
06-06-2024,56150
05-06-2024,56100
04-06-2024,55900
03-06-2024,56200
01-06-2024,56450
31-05-2024,56700
30-05-2024,56850
29-05-2024,57100
28-05-2024,56950
27-05-2024,56900
25-05-2024,57100
24-05-2024,57200
23-05-2024,56800
22-05-2024,56500
21-05-2024,56400
20-05-2024,56600
18-05-2024,56750
17-05-2024,56650
16-05-2024,56650
15-05-2024,56550
14-05-2024,57100
13-05-2024,57400
11-05-2024,57250
10-05-2024,57400
09-05-2024,57500
08-05-2024,57450
07-05-2024,57250
06-05-2024,57250
04-05-2024,56900
03-05-2024,56750
