Date,Price,Open,High,Low,Volume,Chg%
"Jun 07, 2024",74.55,75.57,75.57,74.55,0.00K,-0.73%
"Jun 06, 2024",75.1,75.13,75.25,74.39,0.03K,0.50%
"Jun 05, 2024",74.73,74.92,75.91,74.66,0.02K,0.54%
"Jun 04, 2024",74.33,74.89,74.89,73.71,0.02K,0.31%
"Jun 03, 2024",74.1,76.37,76.37,74.3,0.03K,-3.24%
"May 31, 2024",76.58,77.05,77.46,76.51,0.03K,-1.83%
"May 30, 2024",78.01,80.32,80.32,77.69,0.05K,-2.88%
"May 29, 2024",80.32,81.48,81.49,79.82,0.03K,-1.62%
"May 28, 2024",81.64,80.39,81.9,80.33,0.03K,1.81%
"May 24, 2024",80.19,79.82,80.35,78.9,0.37K,0.72%
"May 23, 2024",79.62,78.35,80,77.51,0.13K,1.71%
"May 22, 2024",78.28,77.06,78.27,76.8,0.06K,2.89%
"May 21, 2024",76.08,75.84,76.31,75.84,0.02K,0.16%
"May 20, 2024",75.96,76.47,76.76,76.47,0.00K,0.18%
"May 17, 2024",75.82,76.96,76.96,75.95,0.03K,-0.50%
"May 16, 2024",76.2,76.3,76.51,76.3,0.02K,1.24%
"May 15, 2024",75.27,75.08,75.08,75.08,0.03K,-0.41%
"May 14, 2024",75.58,77,77,75.5,0.06K,-1.92%
"May 13, 2024",77.06,76.54,77.21,76.54,0.01K,0.42%
"May 10, 2024",76.74,77.43,77.43,76.15,0.01K,-1.30%
"May 09, 2024",77.75,79,79,78.01,0.01K,-2.89%
