Date,Price,Open,High,Low,Volume,Chg%
"Jun 07, 2024",83.405,83.47,83.497,83.385,0,-0.08%
"Jun 06, 2024",83.47,83.381,83.545,83.324,0,0.12%
"Jun 05, 2024",83.37,83.539,83.585,83.277,0,-0.18%
"Jun 04, 2024",83.524,83.12,83.676,83.085,0,0.53%
"Jun 03, 2024",83.083,83.124,83.188,82.952,0,-0.41%
"May 31, 2024",83.424,83.321,83.501,83.235,0,0.17%
"May 30, 2024",83.28,83.363,83.442,83.246,0,-0.07%
"May 29, 2024",83.34,83.197,83.411,83.172,0,0.22%
"May 28, 2024",83.16,83.137,83.209,83.103,0,0.07%
"May 27, 2024",83.102,83.07,83.147,83.034,0,0.05%
"May 24, 2024",83.06,83.285,83.3,83.018,0,-0.22%
"May 23, 2024",83.24,83.286,83.322,83.19,0,0.02%
"May 22, 2024",83.22,83.324,83.328,83.21,0,-0.04%
"May 21, 2024",83.25,83.297,83.373,83.226,0,-0.04%
"May 20, 2024",83.28,83.302,83.328,83.224,0,0.00%
"May 17, 2024",83.28,83.511,83.52,83.273,0,-0.20%
"May 16, 2024",83.45,83.42,83.524,83.404,0,0.05%
"May 15, 2024",83.411,83.503,83.529,83.409,0,-0.08%
"May 14, 2024",83.482,83.529,83.55,83.472,0,0.03%
"May 13, 2024",83.46,83.526,83.566,83.465,0,-0.10%
"May 10, 2024",83.541,83.453,83.56,83.446,0,0.12%
"May 09, 2024",83.441,83.476,83.527,83.432,0,-0.03%
