Date,US_Cotton_FT_Price,US_Cotton_FT_Open,US_Cotton_FT_High,US_Cotton_FT_Low,US_Cotton_FT_Volume,US_Cotton_FT_Chg
2024-05-09,6487.54,6594.60,6598.63,6508.53,0.01,-2.89
2024-05-10,6410.94,6461.77,6470.05,6354.41,0.01,-1.30
2024-05-13,6431.43,6393.08,6452.13,6388.41,0.01,0.42
2024-05-14,6309.57,6431.73,6433.35,6302.14,0.06,-1.92
2024-05-15,6278.35,6269.41,6271.36,6262.35,0.03,-0.41
2024-05-16,6358.89,6364.95,6390.42,6363.73,0.02,1.24
2024-05-17,6314.29,6427.01,6427.70,6324.58,0.03,-0.50
2024-05-20,6325.95,6370.10,6396.26,6364.14,0.00,0.18
2024-05-21,6333.66,6317.24,6362.19,6311.86,0.02,0.16
2024-05-22,6514.46,6420.95,6522.08,6390.53,0.06,2.89
2024-05-23,6627.57,6525.46,6665.76,6448.06,0.13,1.71
2024-05-24,6660.58,6647.81,6693.15,6550.12,0.37,0.72
2024-05-28,6789.18,6683.38,6814.82,6675.66,0.03,1.81
2024-05-29,6693.87,6778.89,6797.16,6638.79,0.03,-1.62
2024-05-30,6496.67,6695.72,6702.06,6467.38,0.05,-2.88
2024-05-31,6388.61,6419.88,6467.99,6368.31,0.03,-1.83
2024-06-03,6156.45,6348.18,6353.07,6163.33,0.03,-3.24
2024-06-04,6208.34,6224.86,6266.50,6124.20,0.02,0.31
2024-06-05,6230.24,6258.74,6344.94,6217.46,0.02,0.54
2024-06-06,6268.60,6264.41,6286.76,6198.47,0.03,0.50
2024-06-07,6217.84,6307.83,6309.87,6216.35,0.00,-0.73
