Date,Value_Brazil_Index
12-01-2018,5527.07
15-01-2018,5523.26
16-01-2018,5550.53
17-01-2018,5595.69
18-01-2018,5609.7
19-01-2018,5629.81
22-01-2018,5620.4
23-01-2018,5535.01
24-01-2018,5622.45
25-01-2018,5701.74
26-01-2018,5664.6
29-01-2018,5547.19
30-01-2018,5497.72
31-01-2018,5446.24
01-02-2018,5538.11
02-02-2018,5477.34
05-02-2018,5431.38
06-02-2018,5453.77
07-02-2018,5408.52
08-02-2018,5413.42
09-02-2018,5386.9
14-02-2018,5447.22
15-02-2018,5449.39
16-02-2018,5493.59
19-02-2018,5500.44
20-02-2018,5492.99
21-02-2018,5518.15
22-02-2018,5583.95
23-02-2018,5561.82
26-02-2018,5577.99
27-02-2018,5611.04
28-02-2018,5676.53
01-03-2018,5701.1
02-03-2018,5736.1
05-03-2018,5783.97
06-03-2018,5895.97
07-03-2018,5867.1
08-03-2018,5876.38
09-03-2018,5958.29
12-03-2018,5937.68
13-03-2018,5918.67
14-03-2018,5919.89
15-03-2018,5894.59
16-03-2018,5932.94
19-03-2018,5884.15
20-03-2018,5878.03
21-03-2018,5973.75
22-03-2018,5929.11
23-03-2018,5901.74
26-03-2018,5890.65
27-03-2018,5858.04
28-03-2018,5856.58
29-03-2018,5928.72
02-04-2018,5897.52
03-04-2018,5863.65
04-04-2018,5878.12
05-04-2018,5895.91
06-04-2018,5872.27
09-04-2018,5871.93
10-04-2018,5913.7
11-04-2018,6033.94
12-04-2018,5992.97
13-04-2018,6010.64
16-04-2018,6049.43
17-04-2018,6142.39
18-04-2018,6191.48
19-04-2018,6177.29
20-04-2018,6238.31
23-04-2018,6281.1
24-04-2018,6257.15
25-04-2018,6269.73
26-04-2018,6345.81
27-04-2018,6375.53
30-04-2018,6277.15
02-05-2018,6256.86
03-05-2018,6292.98
04-05-2018,6355.92
07-05-2018,6391.73
08-05-2018,6398.16
09-05-2018,6427.21
10-05-2018,6511.33
11-05-2018,6503.61
14-05-2018,6538.46
15-05-2018,6595.59
16-05-2018,6595.86
17-05-2018,6527.12
18-05-2018,6499.84
21-05-2018,6659.6
22-05-2018,6806.76
23-05-2018,6856.83
24-05-2018,6860.65
25-05-2018,6770.97
28-05-2018,6665.86
29-05-2018,6678.17
30-05-2018,6707.58
01-06-2018,6621.12
04-06-2018,6682.85
05-06-2018,6568.42
06-06-2018,6498.85
07-06-2018,6408.95
08-06-2018,6805.67
11-06-2018,6808.4
12-06-2018,6823.58
13-06-2018,6855.82
14-06-2018,6681.0
15-06-2018,6876.1
18-06-2018,6816.25
19-06-2018,6846.71
20-06-2018,6808.72
21-06-2018,6755.77
22-06-2018,6768.0
25-06-2018,6735.21
26-06-2018,6685.22
27-06-2018,6511.19
28-06-2018,6490.24
29-06-2018,6316.12
02-07-2018,6234.28
03-07-2018,6160.59
04-07-2018,6065.33
05-07-2018,6026.31
06-07-2018,5990.85
09-07-2018,6006.38
10-07-2018,6132.26
11-07-2018,6031.74
12-07-2018,6038.67
13-07-2018,6079.38
16-07-2018,6028.97
17-07-2018,6020.47
18-07-2018,6061.65
19-07-2018,6054.43
20-07-2018,6157.04
23-07-2018,6119.63
24-07-2018,6161.79
25-07-2018,6206.32
26-07-2018,6149.19
27-07-2018,6174.45
30-07-2018,6120.25
31-07-2018,6025.85
01-08-2018,6004.55
02-08-2018,6024.59
03-08-2018,6090.91
06-08-2018,6059.79
07-08-2018,5972.18
08-08-2018,5952.14
09-08-2018,5895.48
10-08-2018,5797.09
13-08-2018,5787.15
14-08-2018,5822.07
15-08-2018,5772.6
16-08-2018,5774.72
17-08-2018,5734.18
20-08-2018,5640.06
21-08-2018,5548.28
22-08-2018,5497.37
23-08-2018,5423.32
24-08-2018,5426.87
27-08-2018,5442.7
28-08-2018,5345.83
29-08-2018,5412.15
30-08-2018,5382.28
31-08-2018,5524.19
03-09-2018,5428.72
04-09-2018,5466.95
05-09-2018,5481.36
06-09-2018,5522.88
10-09-2018,5585.56
11-09-2018,5511.92
12-09-2018,5481.27
13-09-2018,5422.23
14-09-2018,5449.22
17-09-2018,5559.47
18-09-2018,5566.68
19-09-2018,5551.46
20-09-2018,5609.25
21-09-2018,5663.62
