Date,Ind_Cotton_FT_Price,Ind_Cotton_FT_Open,Ind_Cotton_FT_High,Ind_Cotton_FT_Low,Ind_Cotton_FT_Volume,Ind_Cotton_FT_Chg
12/01/18,43336.0,43608.0,44278.0,42981.0,7.24,-0.1
15/01/18,43106.0,43253.0,43295.0,43023.0,1.69,-0.53
16/01/18,43274.0,43044.0,43504.0,42835.0,3.38,0.39
17/01/18,43253.0,43169.0,43441.0,43086.0,1.7,-0.05
18/01/18,43525.0,43567.0,44006.0,43441.0,3.72,0.63
19/01/18,43818.0,43399.0,43901.0,43357.0,2.75,0.67
22/01/18,43525.0,43880.0,43964.0,43483.0,2.18,-0.67
23/01/18,43106.0,43650.0,43671.0,43023.0,1.69,-0.96
24/01/18,42479.0,43086.0,43127.0,42374.0,3.5,-1.46
25/01/18,42625.0,42500.0,42835.0,42500.0,2.82,0.34
29/01/18,41621.0,42333.0,42333.0,41538.0,1.76,-2.36
30/01/18,41454.0,41517.0,41998.0,41370.0,1.07,-0.4
31/01/18,41099.0,41454.0,41559.0,40764.0,0.52,-0.86
01/02/18,42458.0,42061.0,42604.0,41872.0,3.52,3.31
02/02/18,42165.0,42542.0,42772.0,42082.0,3.87,-0.69
05/02/18,41914.0,42144.0,42165.0,41684.0,2.06,-0.6
06/02/18,41370.0,41663.0,41726.0,41308.0,2.71,-1.3
07/02/18,41789.0,41454.0,41831.0,41433.0,1.94,1.01
08/02/18,42207.0,41705.0,42374.0,41580.0,3.21,1.0
09/02/18,41872.0,42165.0,42458.0,41831.0,3.34,-0.79
12/02/18,41747.0,42165.0,42165.0,41642.0,2.08,-0.3
13/02/18,41642.0,41726.0,41768.0,41580.0,0.51,-0.25
14/02/18,41266.0,41538.0,41621.0,41140.0,2.49,-0.9
15/02/18,40910.0,41391.0,41475.0,40785.0,2.56,-0.86
16/02/18,40806.0,40868.0,41078.0,40597.0,2.19,-0.26
19/02/18,40659.0,40889.0,40973.0,40576.0,2.94,-0.36
