Date,Output
01-02-2018,40500
02-02-2018,41000
03-02-2018,40850
05-02-2018,40700
06-02-2018,40650
07-02-2018,40600
08-02-2018,40750
09-02-2018,40900
10-02-2018,40900
12-02-2018,40900
13-02-2018,40950
14-02-2018,40700
15-02-2018,40650
16-02-2018,40600
17-02-2018,40500
19-02-2018,40500
20-02-2018,40550
21-02-2018,41000
22-02-2018,41150
23-02-2018,40950
24-02-2018,41250
26-02-2018,41450
27-02-2018,41400
28-02-2018,41550
01-03-2018,41800
03-03-2018,41600
05-03-2018,41750
06-03-2018,42350
07-03-2018,41750
08-03-2018,41800
09-03-2018,42050
10-03-2018,41950
12-03-2018,41800
13-03-2018,41550
14-03-2018,41400
15-03-2018,41200
16-03-2018,41000
17-03-2018,40900
19-03-2018,40850
20-03-2018,40650
21-03-2018,40900
22-03-2018,40950
23-03-2018,40900
24-03-2018,40850
26-03-2018,40800
27-03-2018,40950
28-03-2018,41150
29-03-2018,41050
30-03-2018,41150
31-03-2018,41150
02-04-2018,41350
03-04-2018,41400
04-04-2018,41150
05-04-2018,41200
06-04-2018,41550
07-04-2018,41550
09-04-2018,41800
10-04-2018,41750
11-04-2018,41750
12-04-2018,41800
13-04-2018,41850
14-04-2018,41900
16-04-2018,42000
17-04-2018,42100
18-04-2018,42000
19-04-2018,41900
20-04-2018,42000
21-04-2018,42150
23-04-2018,42250
24-04-2018,42100
25-04-2018,41850
26-04-2018,42000
27-04-2018,42100
28-04-2018,42000
30-04-2018,41900
01-05-2018,41850
02-05-2018,41950
03-05-2018,42100
04-05-2018,42100
05-05-2018,42200
07-05-2018,42500
08-05-2018,42450
09-05-2018,42150
10-05-2018,42150
11-05-2018,41950
12-05-2018,41950
14-05-2018,41850
15-05-2018,41700
16-05-2018,41900
17-05-2018,42100
18-05-2018,42200
19-05-2018,42300
21-05-2018,42650
22-05-2018,43050
23-05-2018,42900
24-05-2018,43000
25-05-2018,43200
26-05-2018,43450
28-05-2018,43800
29-05-2018,44750
30-05-2018,44650
31-05-2018,44550
01-06-2018,44650
02-06-2018,44850
04-06-2018,45250
05-06-2018,45150
06-06-2018,45050
07-06-2018,45550
08-06-2018,46150
09-06-2018,47000
11-06-2018,47250
12-06-2018,47150
13-06-2018,47400
14-06-2018,47700
15-06-2018,47750
16-06-2018,47650
18-06-2018,47600
19-06-2018,47150
20-06-2018,47250
21-06-2018,47050
22-06-2018,46950
23-06-2018,47050
25-06-2018,47300
26-06-2018,47100
27-06-2018,47250
28-06-2018,47400
29-06-2018,47150
30-06-2018,47200
02-07-2018,47400
03-07-2018,47250
04-07-2018,47400
05-07-2018,47350
06-07-2018,47250
07-07-2018,47550
09-07-2018,47700
10-07-2018,47950
11-07-2018,47800
12-07-2018,47950
13-07-2018,48350
14-07-2018,48250
16-07-2018,48400
17-07-2018,48250
18-07-2018,48400
19-07-2018,48400
20-07-2018,48200
21-07-2018,48200
23-07-2018,48100
24-07-2018,48050
25-07-2018,48250
26-07-2018,48400
27-07-2018,48300
28-07-2018,48300
30-07-2018,48450
31-07-2018,48550
01-08-2018,48650
02-08-2018,48550
03-08-2018,48750
04-08-2018,48650
06-08-2018,48650
07-08-2018,48750
08-08-2018,48850
09-08-2018,48750
10-08-2018,48750
11-08-2018,48650
13-08-2018,48650
14-08-2018,48550
16-08-2018,48300
17-08-2018,48150
18-08-2018,48150
20-08-2018,48250
21-08-2018,48400
22-08-2018,48400
23-08-2018,48250
24-08-2018,48200
25-08-2018,48200
27-08-2018,48100
28-08-2018,48250
29-08-2018,48350
30-08-2018,48350
31-08-2018,48250
01-09-2018,48250
04-09-2018,48200
05-09-2018,48200
06-09-2018,48200
07-09-2018,48100
08-09-2018,48100
10-09-2018,48200
11-09-2018,48350
12-09-2018,48250
13-09-2018,48300
14-09-2018,48050
15-09-2018,47950
17-09-2018,47750
18-09-2018,47350
19-09-2018,47200
20-09-2018,47050
21-09-2018,46950
22-09-2018,46750
24-09-2018,46800
25-09-2018,46800
26-09-2018,47000
27-09-2018,46800
28-09-2018,46600
29-09-2018,46400
01-10-2018,45200
02-10-2018,45150
03-10-2018,45150
04-10-2018,45350
05-10-2018,45400
06-10-2018,45500
08-10-2018,45600
09-10-2018,46000
10-10-2018,46000
11-10-2018,46200
12-10-2018,46400
13-10-2018,46600
15-10-2018,47150
16-10-2018,47000
17-10-2018,46750
18-10-2018,46450
19-10-2018,46600
20-10-2018,46550
22-10-2018,46750
23-10-2018,47100
24-10-2018,46950
25-10-2018,46750
26-10-2018,46950
27-10-2018,46900
29-10-2018,46650
30-10-2018,46450
31-10-2018,46500
01-11-2018,46350
02-11-2018,46450
03-11-2018,46250
05-11-2018,46050
06-11-2018,45950
07-11-2018,45750
12-11-2018,46000
13-11-2018,46000
14-11-2018,46150
15-11-2018,46250
16-11-2018,46350
17-11-2018,46200
19-11-2018,45950
20-11-2018,45650
21-11-2018,45250
22-11-2018,45350
23-11-2018,45200
24-11-2018,44700
26-11-2018,44250
27-11-2018,44350
28-11-2018,44400
29-11-2018,44250
30-11-2018,44100
01-12-2018,44050
03-12-2018,44600
04-12-2018,44500
05-12-2018,44400
06-12-2018,44700
07-12-2018,44450
08-12-2018,44750
10-12-2018,45050
11-12-2018,45150
12-12-2018,45000
13-12-2018,44750
14-12-2018,44650
15-12-2018,44650
17-12-2018,44800
18-12-2018,44500
19-12-2018,44300
20-12-2018,44200
21-12-2018,43850
22-12-2018,43450
24-12-2018,43150
25-12-2018,43150
26-12-2018,43200
27-12-2018,43450
28-12-2018,43250
29-12-2018,43350
31-12-2018,43650
01-01-2019,43650
02-01-2019,43600
03-01-2019,43400
04-01-2019,43450
05-01-2019,43600
07-01-2019,43650
08-01-2019,43450
09-01-2019,43400
10-01-2019,43350
11-01-2019,43150
12-01-2019,43100
14-01-2019,43100
15-01-2019,42950
16-01-2019,42850
17-01-2019,43000
18-01-2019,43300
19-01-2019,43300
21-01-2019,43350
22-01-2019,43300
23-01-2019,43200
24-01-2019,43100
25-01-2019,43100
26-01-2019,43200
28-01-2019,43150
29-01-2019,43100
30-01-2019,43200
31-01-2019,43150
01-02-2019,43050
02-02-2019,43000
04-02-2019,42850
05-02-2019,42650
06-02-2019,42750
07-02-2019,42800
08-02-2019,42800
09-02-2019,42800
11-02-2019,42850
12-02-2019,42600
13-02-2019,42350
14-02-2019,42400
15-02-2019,42450
16-02-2019,42350
18-02-2019,42150
19-02-2019,42200
20-02-2019,42200
21-02-2019,42250
22-02-2019,42450
23-02-2019,42250
25-02-2019,42350
26-02-2019,42250
27-02-2019,42150
28-02-2019,42250
01-03-2019,42350
02-03-2019,42450
04-03-2019,42600
05-03-2019,42650
06-03-2019,42850
07-03-2019,43000
08-03-2019,42950
09-03-2019,42950
11-03-2019,43200
12-03-2019,43350
13-03-2019,43600
14-03-2019,43750
15-03-2019,43700
16-03-2019,43900
18-03-2019,44500
19-03-2019,44400
20-03-2019,44350
21-03-2019,44350
22-03-2019,44800
23-03-2019,44700
25-03-2019,44750
26-03-2019,44950
27-03-2019,45100
28-03-2019,44950
29-03-2019,44800
30-03-2019,45050
01-04-2019,45300
02-04-2019,45450
03-04-2019,45750
04-04-2019,46050
05-04-2019,46600
06-04-2019,46600
08-04-2019,46550
09-04-2019,46650
10-04-2019,46450
11-04-2019,46300
12-04-2019,46300
13-04-2019,46550
15-04-2019,46750
16-04-2019,46550
17-04-2019,46700
18-04-2019,46700
19-04-2019,46550
20-04-2019,46450
22-04-2019,46600
23-04-2019,46550
24-04-2019,46450
25-04-2019,46350
25-04-2019,46350
26-04-2019,46450
27-04-2019,46400
29-04-2019,46550
30-04-2019,46550
01-05-2019,46350
02-05-2019,46300
03-05-2019,46150
04-05-2019,46150
06-05-2019,46000
07-05-2019,45950
08-05-2019,45850
09-05-2019,45700
10-05-2019,45450
11-05-2019,45150
13-05-2019,44750
14-05-2019,44000
15-05-2019,44150
16-05-2019,44450
17-05-2019,44500
18-05-2019,44500
20-05-2019,44600
21-05-2019,44800
22-05-2019,44750
23-05-2019,44750
24-05-2019,44950
25-05-2019,45350
27-05-2019,45850
28-05-2019,46300
29-05-2019,46450
30-05-2019,46250
31-05-2019,46200
01-06-2019,46150
03-06-2019,45950
04-06-2019,46000
05-06-2019,46150
06-06-2019,46000
07-06-2019,45950
08-06-2019,45650
10-06-2019,45700
11-06-2019,45650
12-06-2019,45550
13-06-2019,45650
14-06-2019,45700
15-06-2019,45600
17-06-2019,45600
18-06-2019,45600
19-06-2019,45750
20-06-2019,45800
21-06-2019,45600
22-06-2019,45550
24-06-2019,45450
25-06-2019,45350
26-06-2019,45250
27-06-2019,45350
28-06-2019,45400
29-06-2019,45300
01-07-2019,45450
02-07-2019,45300
03-07-2019,45150
04-07-2019,45000
05-07-2019,44850
06-07-2019,44800
08-07-2019,44500
09-07-2019,44300
10-07-2019,44200
11-07-2019,44100
12-07-2019,44050
13-07-2019,44050
15-07-2019,44100
16-07-2019,44200
17-07-2019,44200
18-07-2019,44300
19-07-2019,44150
20-07-2019,44200
22-07-2019,44250
23-07-2019,44200
24-07-2019,44100
25-07-2019,44200
26-07-2019,44100
27-07-2019,44100
29-07-2019,43850
30-07-2019,43700
31-07-2019,43400
01-08-2019,43150
02-08-2019,42650
03-08-2019,42150
05-08-2019,41250
06-08-2019,41200
07-08-2019,41400
08-08-2019,41600
09-08-2019,41750
10-08-2019,41800
12-08-2019,41800
13-08-2019,41850
14-08-2019,42150
15-08-2019,42250
16-08-2019,42600
17-08-2019,42800
19-08-2019,42850
20-08-2019,43000
21-08-2019,43050
22-08-2019,43150
23-08-2019,42900
24-08-2019,42900
26-08-2019,42650
27-08-2019,42550
28-08-2019,42450
29-08-2019,42350
30-08-2019,42250
31-08-2019,42150
02-09-2019,41900
03-09-2019,41650
04-09-2019,41450
05-09-2019,41450
06-09-2019,41550
07-09-2019,41450
09-09-2019,41550
10-09-2019,41600
11-09-2019,41600
12-09-2019,41650
13-09-2019,41900
14-09-2019,42000
16-09-2019,42000
17-09-2019,41950
18-09-2019,41800
19-09-2019,41700
20-09-2019,41700
21-09-2019,41650
23-09-2019,41400
24-09-2019,41150
25-09-2019,40900
26-09-2019,40950
27-09-2019,41150
28-09-2019,41450
30-09-2019,41650
01-10-2019,41500
02-10-2019,41250
03-10-2019,41150
04-10-2019,41100
05-10-2019,41050
07-10-2019,40900
08-10-2019,40800
09-10-2019,40650
10-10-2019,40650
11-10-2019,40600
12-10-2019,40500
14-10-2019,40800
15-10-2019,40700
16-10-2019,39250
17-10-2019,39300
18-10-2019,39300
19-10-2019,39400
21-10-2019,39200
22-10-2019,39100
23-10-2019,39200
24-10-2019,39200
25-10-2019,39300
26-10-2019,39300
01-11-2019,39300
02-11-2019,39400
04-11-2019,39500
05-11-2019,39400
06-11-2019,39350
07-11-2019,39200
08-11-2019,39150
09-11-2019,39050
11-11-2019,38800
12-11-2019,38400
13-11-2019,38500
14-11-2019,38400
15-11-2019,38500
16-11-2019,38550
18-11-2019,38500
19-11-2019,38400
20-11-2019,38450
21-11-2019,38350
22-11-2019,38350
23-11-2019,38450
25-11-2019,38550
26-11-2019,38600
27-11-2019,38700
28-11-2019,38550
29-11-2019,38550
30-11-2019,38600
02-12-2019,38650
03-12-2019,38600
04-12-2019,38500
05-12-2019,38600
06-12-2019,38600
07-12-2019,38800
09-12-2019,38900
10-12-2019,38750
11-12-2019,38650
12-12-2019,38650
13-12-2019,38850
14-12-2019,38800
16-12-2019,38900
17-12-2019,38900
18-12-2019,38850
19-12-2019,38950
20-12-2019,39100
21-12-2019,39200
23-12-2019,39200
24-12-2019,39050
25-12-2019,38950
26-12-2019,39000
27-12-2019,39200
28-12-2019,39200
30-12-2019,39250
31-12-2019,39400
01-01-2020,39500
02-01-2020,39600
03-01-2020,39600
04-01-2020,39600
06-01-2020,39750
07-01-2020,40000
08-01-2020,39900
09-01-2020,39950
10-01-2020,40600
11-01-2020,40750
13-01-2020,40950
14-01-2020,40800
15-01-2020,40600
16-01-2020,40250
17-01-2020,40350
18-01-2020,40650
20-01-2020,40450
21-01-2020,40200
22-01-2020,39950
23-01-2020,40150
24-01-2020,40000
25-01-2020,39800
27-01-2020,39500
28-01-2020,39550
29-01-2020,39900
30-01-2020,39700
31-01-2020,39650
01-02-2020,39400
03-02-2020,39200
04-02-2020,39300
05-02-2020,39500
06-02-2020,39600
07-02-2020,39550
08-02-2020,39400
10-02-2020,39200
11-02-2020,39150
12-02-2020,39250
13-02-2020,39350
14-02-2020,39200
